,eve,no_eve
0,0.43,0.49
1,0.38,0.47
2,0.35,0.56
3,0.39,0.53
4,0.36,0.52
5,0.39,0.47
6,0.43,0.5
7,0.46,0.53
8,0.41,0.58
9,0.34,0.48
10,0.37,0.51
11,0.4,0.56
12,0.45,0.54
13,0.36,0.39
14,0.44,0.46
15,0.38,0.45
16,0.37,0.51
17,0.41,0.5
18,0.35,0.56
19,0.37,0.43
20,0.38,0.47
21,0.35,0.58
22,0.37,0.43
23,0.33,0.5
24,0.39,0.53
25,0.37,0.51
26,0.31,0.46
27,0.37,0.43
28,0.37,0.54
29,0.32,0.41
30,0.39,0.39
31,0.48,0.47
32,0.33,0.49
33,0.39,0.47
34,0.42,0.52
35,0.38,0.48
36,0.45,0.39
37,0.36,0.5
38,0.31,0.45
39,0.39,0.45
40,0.33,0.53
41,0.46,0.56
42,0.46,0.46
43,0.33,0.42
44,0.5,0.42
45,0.34,0.48
46,0.43,0.47
47,0.42,0.6
48,0.37,0.46
49,0.32,0.55
50,0.45,0.44
51,0.3,0.49
52,0.44,0.49
53,0.44,0.48
54,0.45,0.47
55,0.3,0.54
56,0.33,0.51
57,0.38,0.51
58,0.32,0.47
59,0.43,0.46
60,0.4,0.47
61,0.3,0.4
62,0.36,0.5
63,0.33,0.4
64,0.46,0.52
65,0.35,0.56
66,0.37,0.5
67,0.38,0.61
68,0.38,0.59
69,0.44,0.6
70,0.3,0.45
71,0.4,0.52
72,0.32,0.5
73,0.47,0.54
74,0.38,0.61
75,0.44,0.48
76,0.37,0.47
77,0.26,0.45
78,0.41,0.48
79,0.42,0.43
80,0.36,0.47
81,0.41,0.46
82,0.43,0.43
83,0.35,0.53
84,0.47,0.41
85,0.43,0.52
86,0.37,0.52
87,0.43,0.6
88,0.34,0.58
89,0.37,0.51
90,0.32,0.52
91,0.36,0.61
92,0.38,0.55
93,0.31,0.48
94,0.32,0.51
95,0.37,0.43
96,0.42,0.52
97,0.38,0.57
98,0.48,0.5
99,0.45,0.57
100,0.42,0.41
101,0.44,0.53
102,0.39,0.55
103,0.4,0.58
104,0.38,0.52
105,0.42,0.52
106,0.32,0.48
107,0.34,0.54
108,0.37,0.46
109,0.36,0.52
110,0.35,0.52
111,0.32,0.53
112,0.42,0.46
113,0.35,0.5
114,0.38,0.54
115,0.43,0.49
116,0.49,0.47
117,0.47,0.56
118,0.33,0.42
119,0.33,0.42
120,0.45,0.54
121,0.47,0.56
122,0.41,0.57
123,0.35,0.55
124,0.5,0.49
125,0.34,0.47
126,0.39,0.54
127,0.42,0.54
128,0.44,0.52
129,0.44,0.46
130,0.41,0.48
131,0.45,0.59
132,0.33,0.48
133,0.42,0.57
134,0.37,0.55
135,0.46,0.5
136,0.38,0.44
137,0.32,0.5
138,0.39,0.55
139,0.34,0.47
140,0.36,0.44
141,0.42,0.48
142,0.46,0.52
143,0.4,0.49
144,0.33,0.57
145,0.36,0.48
146,0.34,0.58
147,0.36,0.44
148,0.36,0.48
149,0.31,0.52
150,0.35,0.46
151,0.41,0.54
152,0.29,0.58
153,0.37,0.49
154,0.37,0.51
155,0.26,0.47
156,0.33,0.45
157,0.32,0.47
158,0.38,0.56
159,0.35,0.42
160,0.4,0.42
161,0.33,0.49
162,0.37,0.52
163,0.45,0.59
164,0.39,0.46
165,0.43,0.44
166,0.36,0.51
167,0.37,0.5
168,0.4,0.56
169,0.32,0.49
170,0.44,0.43
171,0.33,0.57
172,0.37,0.5
173,0.33,0.46
174,0.37,0.55
175,0.52,0.42
176,0.42,0.41
177,0.35,0.45
178,0.31,0.43
179,0.29,0.52
180,0.33,0.49
181,0.34,0.51
182,0.41,0.62
183,0.33,0.53
184,0.46,0.46
185,0.31,0.5
186,0.35,0.48
187,0.35,0.5
188,0.46,0.56
189,0.43,0.52
190,0.41,0.47
191,0.39,0.45
192,0.39,0.5
193,0.43,0.45
194,0.38,0.53
195,0.35,0.46
196,0.4,0.49
197,0.42,0.56
198,0.38,0.49
199,0.4,0.5
200,0.33,0.48
201,0.3,0.47
202,0.38,0.44
203,0.32,0.5
204,0.34,0.47
205,0.24,0.46
206,0.45,0.39
207,0.37,0.52
208,0.39,0.44
209,0.38,0.5
210,0.44,0.57
211,0.4,0.55
212,0.36,0.42
213,0.31,0.41
214,0.36,0.43
215,0.34,0.48
216,0.3,0.57
217,0.42,0.49
218,0.43,0.45
219,0.34,0.59
220,0.4,0.54
221,0.37,0.57
222,0.36,0.49
223,0.41,0.47
224,0.48,0.49
225,0.42,0.43
226,0.43,0.63
227,0.43,0.5
228,0.39,0.54
229,0.33,0.44
230,0.38,0.5
231,0.42,0.47
232,0.36,0.58
233,0.41,0.51
234,0.32,0.53
235,0.37,0.49
236,0.4,0.4
237,0.42,0.56
238,0.38,0.49
239,0.42,0.51
240,0.34,0.54
241,0.47,0.54
242,0.3,0.47
243,0.34,0.5
244,0.35,0.49
245,0.39,0.54
246,0.44,0.53
247,0.43,0.51
248,0.4,0.56
249,0.37,0.48
250,0.36,0.63
251,0.47,0.57
252,0.32,0.55
253,0.38,0.51
254,0.5,0.56
255,0.42,0.54
256,0.36,0.47
257,0.44,0.45
258,0.31,0.54
259,0.35,0.42
260,0.36,0.51
261,0.36,0.49
262,0.44,0.51
263,0.48,0.48
264,0.4,0.47
265,0.29,0.49
266,0.44,0.56
267,0.43,0.48
268,0.39,0.41
269,0.38,0.61
270,0.34,0.47
271,0.3,0.58
272,0.35,0.56
273,0.23,0.51
274,0.36,0.43
275,0.41,0.54
276,0.4,0.52
277,0.44,0.47
278,0.38,0.47
279,0.31,0.43
280,0.41,0.49
281,0.35,0.48
282,0.35,0.48
283,0.34,0.63
284,0.39,0.5
285,0.4,0.48
286,0.4,0.5
287,0.43,0.52
288,0.32,0.5
289,0.34,0.41
290,0.33,0.49
291,0.37,0.39
292,0.34,0.55
293,0.36,0.51
294,0.34,0.45
295,0.42,0.47
296,0.46,0.43
297,0.45,0.49
298,0.41,0.45
299,0.34,0.52
300,0.46,0.48
301,0.32,0.53
302,0.4,0.55
303,0.38,0.53
304,0.39,0.46
305,0.32,0.44
306,0.42,0.43
307,0.42,0.49
308,0.41,0.54
309,0.46,0.51
310,0.4,0.48
311,0.37,0.57
312,0.41,0.46
313,0.38,0.5
314,0.43,0.54
315,0.4,0.51
316,0.4,0.61
317,0.34,0.46
318,0.4,0.47
319,0.42,0.52
320,0.43,0.47
321,0.38,0.55
322,0.34,0.51
323,0.4,0.48
324,0.31,0.5
325,0.44,0.56
326,0.36,0.45
327,0.38,0.53
328,0.41,0.49
329,0.39,0.51
330,0.39,0.43
331,0.33,0.46
332,0.5,0.49
333,0.38,0.5
334,0.36,0.5
335,0.33,0.48
336,0.37,0.44
337,0.38,0.55
338,0.38,0.54
339,0.43,0.49
340,0.29,0.5
341,0.27,0.51
342,0.34,0.38
343,0.34,0.56
344,0.37,0.51
345,0.37,0.45
346,0.43,0.56
347,0.32,0.53
348,0.35,0.42
349,0.39,0.49
350,0.41,0.5
351,0.33,0.6
352,0.36,0.39
353,0.42,0.57
354,0.34,0.55
355,0.47,0.48
356,0.32,0.54
357,0.38,0.45
358,0.37,0.61
359,0.39,0.43
360,0.38,0.54
361,0.43,0.54
362,0.39,0.55
363,0.37,0.45
364,0.34,0.52
365,0.29,0.52
366,0.42,0.5
367,0.38,0.59
368,0.4,0.56
369,0.36,0.53
370,0.33,0.61
371,0.39,0.52
372,0.32,0.62
373,0.36,0.49
374,0.44,0.47
375,0.37,0.46
376,0.37,0.5
377,0.37,0.61
378,0.41,0.57
379,0.5,0.47
380,0.36,0.5
381,0.42,0.47
382,0.36,0.57
383,0.48,0.51
384,0.38,0.46
385,0.39,0.53
386,0.4,0.42
387,0.44,0.52
388,0.37,0.47
389,0.46,0.6
390,0.38,0.48
391,0.39,0.44
392,0.42,0.5
393,0.4,0.5
394,0.37,0.52
395,0.34,0.39
396,0.42,0.48
397,0.44,0.5
398,0.36,0.58
399,0.32,0.54
400,0.36,0.55
401,0.44,0.36
402,0.35,0.44
403,0.3,0.54
404,0.39,0.57
405,0.33,0.54
406,0.36,0.48
407,0.36,0.48
408,0.35,0.51
409,0.36,0.51
410,0.38,0.49
411,0.42,0.46
412,0.39,0.51
413,0.38,0.45
414,0.3,0.5
415,0.36,0.52
416,0.31,0.54
417,0.39,0.56
418,0.35,0.43
419,0.35,0.45
420,0.33,0.47
421,0.43,0.45
422,0.44,0.41
423,0.48,0.55
424,0.38,0.53
425,0.29,0.55
426,0.33,0.5
427,0.48,0.51
428,0.32,0.51
429,0.36,0.46
430,0.39,0.5
431,0.37,0.53
432,0.34,0.5
433,0.35,0.48
434,0.43,0.43
435,0.48,0.39
436,0.37,0.47
437,0.4,0.55
438,0.38,0.39
439,0.4,0.44
440,0.33,0.53
441,0.29,0.52
442,0.39,0.47
443,0.43,0.51
444,0.28,0.44
445,0.43,0.53
446,0.34,0.56
447,0.46,0.48
448,0.39,0.55
449,0.37,0.48
450,0.32,0.51
451,0.45,0.53
452,0.34,0.49
453,0.39,0.5
454,0.35,0.51
455,0.32,0.47
456,0.42,0.46
457,0.39,0.54
458,0.4,0.49
459,0.41,0.47
460,0.43,0.45
461,0.32,0.52
462,0.42,0.45
463,0.39,0.51
464,0.37,0.55
465,0.39,0.54
466,0.38,0.43
467,0.37,0.51
468,0.38,0.53
469,0.36,0.47
470,0.32,0.45
471,0.42,0.53
472,0.38,0.5
473,0.33,0.51
474,0.41,0.56
475,0.44,0.48
476,0.36,0.46
477,0.35,0.57
478,0.33,0.55
479,0.43,0.48
480,0.4,0.46
481,0.38,0.52
482,0.39,0.53
483,0.36,0.41
484,0.43,0.49
485,0.38,0.49
486,0.29,0.5
487,0.42,0.35
488,0.38,0.41
489,0.36,0.62
490,0.48,0.51
491,0.37,0.48
492,0.42,0.51
493,0.4,0.57
494,0.39,0.52
495,0.42,0.48
496,0.4,0.48
497,0.38,0.59
498,0.33,0.4
499,0.41,0.47
500,0.47,0.52
501,0.41,0.5
502,0.44,0.44
503,0.34,0.54
504,0.33,0.45
505,0.43,0.5
506,0.36,0.43
507,0.41,0.59
508,0.39,0.6
509,0.36,0.52
510,0.4,0.42
511,0.44,0.58
512,0.4,0.53
513,0.39,0.57
514,0.33,0.48
515,0.4,0.6
516,0.48,0.47
517,0.35,0.51
518,0.4,0.58
519,0.43,0.47
520,0.3,0.56
521,0.5,0.45
522,0.38,0.52
523,0.45,0.51
524,0.4,0.42
525,0.4,0.41
526,0.43,0.54
527,0.44,0.62
528,0.34,0.42
529,0.37,0.57
530,0.31,0.44
531,0.35,0.49
532,0.36,0.56
533,0.34,0.52
534,0.43,0.5
535,0.36,0.48
536,0.39,0.52
537,0.37,0.52
538,0.42,0.46
539,0.42,0.52
540,0.42,0.53
541,0.36,0.52
542,0.45,0.56
543,0.36,0.44
544,0.36,0.54
545,0.44,0.54
546,0.25,0.54
547,0.28,0.55
548,0.33,0.46
549,0.43,0.5
550,0.4,0.36
551,0.28,0.49
552,0.36,0.53
553,0.39,0.49
554,0.4,0.55
555,0.41,0.47
556,0.41,0.41
557,0.42,0.53
558,0.43,0.5
559,0.42,0.43
