,eve,no_eve
0,0.4,0.42
1,0.38,0.34
2,0.34,0.38
3,0.36,0.48
4,0.36,0.44
5,0.4,0.46
6,0.26,0.56
7,0.28,0.54
8,0.28,0.48
9,0.24,0.46
10,0.36,0.56
11,0.34,0.52
12,0.38,0.5
13,0.46,0.46
14,0.28,0.46
15,0.42,0.46
16,0.4,0.48
17,0.46,0.56
18,0.34,0.62
19,0.34,0.48
20,0.34,0.5
21,0.3,0.46
22,0.34,0.62
23,0.46,0.44
24,0.46,0.5
25,0.44,0.48
26,0.38,0.4
27,0.32,0.32
28,0.34,0.52
29,0.4,0.5
30,0.36,0.52
31,0.34,0.42
32,0.4,0.5
33,0.32,0.64
34,0.32,0.48
35,0.46,0.42
36,0.48,0.5
37,0.38,0.4
38,0.34,0.5
39,0.46,0.46
40,0.54,0.36
41,0.42,0.5
42,0.36,0.58
43,0.42,0.64
44,0.4,0.6
45,0.3,0.48
46,0.4,0.56
47,0.44,0.6
48,0.36,0.48
49,0.32,0.66
50,0.4,0.4
51,0.24,0.5
52,0.34,0.48
53,0.42,0.56
54,0.46,0.34
55,0.4,0.5
56,0.28,0.46
57,0.42,0.44
58,0.52,0.64
59,0.34,0.56
60,0.28,0.38
61,0.38,0.52
62,0.44,0.54
63,0.44,0.36
64,0.36,0.56
65,0.36,0.58
66,0.3,0.44
67,0.42,0.46
68,0.4,0.52
69,0.44,0.48
70,0.26,0.52
71,0.36,0.6
72,0.38,0.58
73,0.36,0.56
74,0.42,0.5
75,0.38,0.44
76,0.42,0.52
77,0.4,0.64
78,0.42,0.48
79,0.34,0.5
80,0.4,0.46
81,0.46,0.38
82,0.42,0.52
83,0.4,0.38
84,0.44,0.46
85,0.38,0.52
86,0.42,0.52
87,0.36,0.52
88,0.42,0.34
89,0.38,0.34
90,0.32,0.54
91,0.36,0.5
92,0.36,0.54
93,0.34,0.6
94,0.4,0.54
95,0.46,0.48
96,0.44,0.54
97,0.36,0.52
98,0.36,0.5
99,0.56,0.38
100,0.42,0.5
101,0.34,0.38
102,0.3,0.5
103,0.36,0.52
104,0.48,0.56
105,0.32,0.42
106,0.46,0.54
107,0.36,0.62
108,0.42,0.54
109,0.34,0.42
110,0.34,0.58
111,0.28,0.46
112,0.42,0.48
113,0.54,0.48
114,0.42,0.56
115,0.52,0.52
116,0.32,0.38
117,0.46,0.44
118,0.38,0.54
119,0.42,0.4
120,0.38,0.44
121,0.36,0.48
122,0.36,0.6
123,0.4,0.44
124,0.38,0.48
125,0.34,0.46
126,0.42,0.46
127,0.36,0.46
128,0.46,0.5
129,0.42,0.5
130,0.32,0.58
131,0.44,0.46
132,0.38,0.56
133,0.22,0.44
134,0.4,0.46
135,0.38,0.36
136,0.36,0.5
137,0.32,0.54
138,0.36,0.48
139,0.38,0.44
140,0.38,0.36
141,0.38,0.46
142,0.36,0.42
143,0.44,0.5
144,0.38,0.38
145,0.3,0.46
146,0.22,0.54
147,0.46,0.4
148,0.34,0.44
149,0.44,0.48
150,0.3,0.58
151,0.28,0.58
152,0.44,0.48
153,0.36,0.52
154,0.24,0.54
155,0.54,0.54
156,0.32,0.5
157,0.28,0.56
158,0.34,0.52
159,0.48,0.42
160,0.5,0.44
161,0.36,0.52
162,0.48,0.52
163,0.38,0.42
164,0.38,0.48
165,0.32,0.56
166,0.38,0.48
167,0.28,0.54
168,0.44,0.3
169,0.48,0.4
170,0.48,0.46
171,0.36,0.46
172,0.2,0.38
173,0.4,0.4
174,0.28,0.58
175,0.34,0.48
176,0.28,0.5
177,0.36,0.56
178,0.4,0.48
179,0.4,0.48
180,0.3,0.38
181,0.42,0.5
182,0.4,0.48
183,0.24,0.58
184,0.46,0.56
185,0.24,0.68
186,0.28,0.52
187,0.34,0.48
188,0.4,0.52
189,0.34,0.56
190,0.38,0.56
191,0.22,0.54
192,0.26,0.44
193,0.3,0.52
194,0.3,0.46
195,0.28,0.56
196,0.42,0.5
197,0.52,0.5
198,0.32,0.58
199,0.18,0.52
200,0.36,0.46
201,0.46,0.58
202,0.36,0.5
203,0.38,0.38
204,0.36,0.62
205,0.32,0.46
206,0.4,0.66
207,0.3,0.52
208,0.34,0.36
209,0.36,0.42
210,0.3,0.58
211,0.28,0.46
212,0.44,0.54
213,0.3,0.62
214,0.34,0.46
215,0.44,0.48
216,0.3,0.34
217,0.36,0.62
218,0.4,0.54
219,0.34,0.56
220,0.36,0.42
221,0.4,0.5
222,0.36,0.46
223,0.32,0.6
224,0.4,0.5
225,0.36,0.54
226,0.36,0.46
227,0.4,0.4
228,0.34,0.48
229,0.46,0.5
230,0.48,0.5
231,0.32,0.28
232,0.36,0.4
233,0.5,0.44
234,0.3,0.64
235,0.36,0.54
236,0.44,0.38
237,0.48,0.52
238,0.38,0.56
239,0.5,0.46
240,0.32,0.5
241,0.42,0.46
242,0.32,0.52
243,0.44,0.42
244,0.38,0.58
245,0.46,0.6
246,0.42,0.42
247,0.4,0.56
248,0.52,0.5
249,0.32,0.52
250,0.36,0.38
251,0.38,0.58
252,0.38,0.54
253,0.32,0.6
254,0.32,0.48
255,0.36,0.54
256,0.26,0.58
257,0.48,0.56
258,0.32,0.46
259,0.38,0.56
260,0.24,0.5
261,0.24,0.4
262,0.5,0.58
263,0.42,0.52
264,0.48,0.52
265,0.28,0.52
266,0.3,0.54
267,0.4,0.56
268,0.48,0.48
269,0.46,0.44
270,0.34,0.34
271,0.38,0.46
272,0.44,0.62
273,0.3,0.58
274,0.32,0.44
275,0.36,0.4
276,0.38,0.56
277,0.3,0.54
278,0.24,0.5
279,0.38,0.56
280,0.4,0.54
281,0.5,0.5
282,0.3,0.52
283,0.5,0.54
284,0.32,0.44
285,0.38,0.46
286,0.4,0.6
287,0.32,0.52
288,0.5,0.54
289,0.36,0.48
290,0.44,0.58
291,0.34,0.48
292,0.22,0.52
293,0.4,0.44
294,0.36,0.58
295,0.44,0.5
296,0.46,0.64
297,0.38,0.54
298,0.48,0.46
299,0.42,0.44
300,0.32,0.42
301,0.4,0.54
302,0.44,0.52
303,0.28,0.5
304,0.42,0.58
305,0.38,0.58
306,0.32,0.58
307,0.24,0.46
308,0.4,0.48
309,0.32,0.5
310,0.36,0.5
311,0.34,0.4
312,0.28,0.54
313,0.4,0.48
314,0.34,0.42
315,0.56,0.4
316,0.44,0.3
317,0.38,0.52
318,0.4,0.52
319,0.4,0.5
320,0.4,0.5
321,0.42,0.54
322,0.38,0.38
323,0.34,0.48
324,0.28,0.42
325,0.44,0.48
326,0.38,0.5
327,0.4,0.56
328,0.42,0.38
329,0.38,0.52
330,0.38,0.44
331,0.36,0.64
332,0.4,0.54
333,0.3,0.56
334,0.36,0.5
335,0.4,0.42
336,0.36,0.52
337,0.5,0.52
338,0.36,0.5
339,0.44,0.44
340,0.38,0.56
341,0.44,0.48
342,0.48,0.48
343,0.32,0.46
