,eve,no_eve
0,0.3869047619047619,0.4880952380952381
1,0.38095238095238093,0.44047619047619047
2,0.4107142857142857,0.4642857142857143
3,0.3392857142857143,0.5476190476190477
4,0.47023809523809523,0.44047619047619047
5,0.4523809523809524,0.44642857142857145
6,0.375,0.5357142857142857
7,0.4166666666666667,0.5357142857142857
8,0.35714285714285715,0.48214285714285715
9,0.42857142857142855,0.5297619047619048
10,0.43452380952380953,0.44047619047619047
11,0.44047619047619047,0.47619047619047616
12,0.27976190476190477,0.5297619047619048
13,0.3630952380952381,0.5
14,0.39285714285714285,0.5297619047619048
15,0.4166666666666667,0.4166666666666667
16,0.3333333333333333,0.4523809523809524
17,0.36904761904761907,0.5178571428571429
18,0.3392857142857143,0.4880952380952381
19,0.39880952380952384,0.5357142857142857
20,0.3333333333333333,0.5416666666666666
21,0.34523809523809523,0.5714285714285714
22,0.375,0.5
23,0.35714285714285715,0.5119047619047619
24,0.36904761904761907,0.5119047619047619
25,0.4107142857142857,0.48214285714285715
26,0.31547619047619047,0.5238095238095238
27,0.4583333333333333,0.43452380952380953
28,0.3630952380952381,0.5059523809523809
29,0.35714285714285715,0.4583333333333333
30,0.34523809523809523,0.48214285714285715
31,0.35714285714285715,0.44642857142857145
32,0.2857142857142857,0.39880952380952384
33,0.39285714285714285,0.4583333333333333
34,0.39880952380952384,0.5178571428571429
35,0.4107142857142857,0.5416666666666666
36,0.35714285714285715,0.42857142857142855
37,0.375,0.5
38,0.3273809523809524,0.4880952380952381
39,0.32142857142857145,0.5952380952380952
40,0.39285714285714285,0.4880952380952381
41,0.3392857142857143,0.49404761904761907
42,0.3273809523809524,0.44047619047619047
43,0.3869047619047619,0.5297619047619048
44,0.5059523809523809,0.5476190476190477
45,0.4166666666666667,0.4880952380952381
46,0.38095238095238093,0.5357142857142857
47,0.4226190476190476,0.5119047619047619
48,0.3273809523809524,0.4523809523809524
49,0.4107142857142857,0.49404761904761907
50,0.36904761904761907,0.5
51,0.39285714285714285,0.47619047619047616
52,0.35714285714285715,0.44642857142857145
53,0.3630952380952381,0.4523809523809524
54,0.40476190476190477,0.47619047619047616
55,0.40476190476190477,0.47023809523809523
56,0.27380952380952384,0.48214285714285715
57,0.34523809523809523,0.5297619047619048
58,0.38095238095238093,0.4583333333333333
59,0.35119047619047616,0.5119047619047619
60,0.3630952380952381,0.5238095238095238
61,0.42857142857142855,0.5416666666666666
62,0.35714285714285715,0.5119047619047619
63,0.38095238095238093,0.47619047619047616
64,0.34523809523809523,0.49404761904761907
65,0.3630952380952381,0.44642857142857145
66,0.3630952380952381,0.4880952380952381
67,0.3392857142857143,0.5357142857142857
68,0.3869047619047619,0.4583333333333333
69,0.34523809523809523,0.5238095238095238
70,0.375,0.5476190476190477
71,0.43452380952380953,0.5357142857142857
72,0.39285714285714285,0.4880952380952381
73,0.35714285714285715,0.5714285714285714
74,0.4226190476190476,0.5416666666666666
75,0.31547619047619047,0.5059523809523809
76,0.35714285714285715,0.5535714285714286
77,0.44642857142857145,0.5119047619047619
78,0.39285714285714285,0.5178571428571429
79,0.36904761904761907,0.5
80,0.3333333333333333,0.47619047619047616
81,0.3630952380952381,0.5119047619047619
82,0.4523809523809524,0.49404761904761907
83,0.40476190476190477,0.4880952380952381
84,0.3630952380952381,0.4523809523809524
85,0.39285714285714285,0.5059523809523809
86,0.3333333333333333,0.5119047619047619
87,0.35119047619047616,0.5297619047619048
88,0.35119047619047616,0.48214285714285715
